	Ticker	Shares
1	T.TO	1469.8273643969785
2	BLK	90.13674361157916
3	CL	235.49509345298912
4	AAPL	465.5117252189908
5	ABT	189.82019451342018
6	AIG	1138.0135725576188
7	ACN	103.43325937759037
8	PFE	871.4518226508251
9	LMT	41.2255800428288
10	MRK	225.3801271021549
11	RY.TO	647.8042393433485
12	ABBV	126.32535922979231
13	PM	171.9612150288515
14	UNP	92.2203737044017
15	PG	126.80548979773872
16	TD.TO	1544.3551177583925
