WFC
C
GS
MS
PG
SBUX
MCD
WMT
BAR.V
MMM
BA
UPS
BMO.TO
NA.TO
MFC.TO
NOPE
FFH.TO
HYPE
TRP.TO
CNQ.TO
NVIV
NULL
PED
TLRY
CRON
APHA
ACB
HEXO
AXLA
OPTT
RIBT
LGD.TO
AOI.TO
CGX.TO
SOIL.TO
POE.TO
OGI.TO
FIRE.TO
VIVO.TO
PZA.TO
